"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng"
"x3360897682","x1103510049534689281",2019-03-07 04:17:52,"patricia_ann4","@HannahSawyer_DK @LukeSawyer_DK I hope so too. I know too many people who have or had the flu","Twitter for iPhone",61,"x1103509663138508801","x2189553714","HannahSawyer_DK",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2189553714 x2189646481","HannahSawyer_DK LukeSawyer_DK","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/patricia_ann4/status/1103510049534689281","Patricia Ann","East Coast, USA","❤️ 📖 huge Fan of The Crossfire Series, Fifty Shades of Grey Series, The Fixed Trilogy, The Hacker Series, Beautiful Series, Calendar Girl Series. Laugh often!",,FALSE,323,290,2,28286,223371,2015-07-05 16:12:37,FALSE,,,"en","https://pbs.twimg.com/profile_banners/3360897682/1542077082","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1086473544953929728/uwJjuzWC_normal.jpg",,
"x783324158465748997","x1103509814016073728",2019-03-07 04:16:56,"blankenba1","I’m almost 18 years I’ve never had the flu... doesn’t get the flu shot once and now I’m dying","Twitter for iPhone",93,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/blankenba1/status/1103509814016073728","Abbie Blankenbaker","Keizer, OR","🏋🏼‍♀️ sc: abbie81601",,FALSE,108,118,0,1073,2953,2016-10-04 15:13:27,FALSE,,,"en","https://pbs.twimg.com/profile_banners/783324158465748997/1545364418",,"http://pbs.twimg.com/profile_images/1086022514914910208/tlAY1BxL_normal.jpg",,
"x32804797","x1103509216617213952",2019-03-07 04:14:34,"VeryGoodKerry","@GirlFromThe216 I only started watching more recently when I had the flu and insomnia and some marathon was on. I’ve been told it used to be even more wild. I cannot imagine because they yell at each other so much already","Twitter for iPhone",205,"x1103508793260945410","x24113392","GirlFromThe216",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x24113392","GirlFromThe216","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/VeryGoodKerry/status/1103509216617213952","Kerry ☘️⚾️","Cleveland, OH","Lover of all things Cleveland, esp. #Indians ⚾️. Ψ PhD, Anthem Singer, Proud Nerd. Was too nice to be on Twitter but you've broken me. 🤔 #RallyTogether",,FALSE,1376,812,27,37303,55991,2009-04-18 05:37:14,FALSE,,,"en","https://pbs.twimg.com/profile_banners/32804797/1497404022","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/979210019832025088/K1O-zKY-_normal.jpg",,
"x807295569223938048","x1103507420284968960",2019-03-07 04:07:25,"gohome1122","@WORLDSTAR I had the flu once.","Twitter Web Client",19,"x1103499929610215424","x11912362","WORLDSTAR",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x11912362","WORLDSTAR","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gohome1122/status/1103507420284968960","Joshua Phillips","Illinois","GO CUBS!  Trump is a symptom, a gross, moronic, egotistical, con man kind of a symptom.",,FALSE,14,134,0,4063,2477,2016-12-09 18:47:17,FALSE,,,"en","https://pbs.twimg.com/profile_banners/807295569223938048/1548540901","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1089284346417168384/WLwCzQ7l_normal.jpg",,
"x3000130447","x1103506485542293505",2019-03-07 04:03:42,"taylorismm_","I’m so approachable any client who I’ve ever seen can tell you my customer service skills on a million I pride myself on that. I felt bad having to cancel appointments when I had the flu, was dying in bed waking up to respond to text about lashes","Twitter for iPhone",246,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/taylorismm_/status/1103506485542293505","Tay","Baltimore, MD","Somewhere between I want it and I got it 🤞🏾",,FALSE,127,98,0,4061,3104,2015-01-29 00:05:28,FALSE,,,"en","https://pbs.twimg.com/profile_banners/3000130447/1535390687","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1070882194065944576/WiQofDQU_normal.jpg",,
"x259010664","x1103504914855194624",2019-03-07 03:57:28,"becky71785","@jujulynn06 Haven't had the flu in years, now the last time i got the flu shot i got the flu so i have never gotten it again","Twitter Web App",112,"x1103504205799714817","x422152005","jujulynn06",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x422152005","jujulynn06","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/becky71785/status/1103504914855194624","Rebecca Browand","cleveland ohio","Inspire others, Give them motivation, Be the best person, the type that God wants you to be, Never Give Up, #BlessEm",,FALSE,309,778,1,13754,28504,2011-02-28 23:58:16,FALSE,,,"en","https://pbs.twimg.com/profile_banners/259010664/1539051794","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1092991000279166977/tLMkDZT2_normal.jpg",,
"x371564811","x1103503033282019328",2019-03-07 03:49:59,"Lone_Hawke","@_DebbieDebs NIGGAS SHOT ME WITH FLU it ain't like it was The Draco","Twitter for Android",54,"x1103502771473604609","x345620436","_DebbieDebs",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x345620436","_DebbieDebs","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Lone_Hawke/status/1103503033282019328","Y = MX + 🧢","Pittsburgh","Point Park '19|Pitt'16|Dice'11| 🇩🇿 عصابة",,FALSE,973,1165,6,39740,52823,2011-09-11 03:08:30,FALSE,,,"en","https://pbs.twimg.com/profile_banners/371564811/1501796733","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1072970008995790848/DzneGb2c_normal.jpg",,
"x2431527388","x1103496378410586114",2019-03-07 03:23:33,"kriola_fofa617","@StoopidWild88 😂😂 I had the flu hacking up a lung and my daughter yelled a little quieter please. Kids ain't shit","Twitter for Android",98,"x1103476614522900480","x99159042","StoopidWild88",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x99159042","StoopidWild88","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json","Boston","Boston, MA","city","United States","US","NA NA","NA NA","-71.191421 -70.986004 -70.986004 -71.191421 42.227797 42.227797 42.399542 42.399542","https://twitter.com/kriola_fofa617/status/1103496378410586114","Natalie Teixeira","","Proud Mommy Great Woman Cape Verdean need I say more ...  #bostonstrong snapchat: @kriola_fofa6617 IG: Kriola_fofa","https://t.co/wB72xhCHHY",FALSE,2509,2674,34,46894,28668,2014-03-23 18:00:59,FALSE,"https://t.co/wB72xhCHHY","https://secure.acsevents.org/site/SPageServer?pagename=MSABC_CY14_participant_center&pc2_page=center","en","https://pbs.twimg.com/profile_banners/2431527388/1401463749","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1078828611321380864/FxYxvqDs_normal.jpg",42.3136695,-71.0887125
"x113554769","x1103495241317957632",2019-03-07 03:19:02,"kdzwierzynski","#nationalloveyourpetday was a few weeks ago when i had the flu, but we celebrate it every day here (and we’re celebrating three months of bentley coming to his forever home, too!) https://t.co/JdYEMBPxN9","Twitter for iPhone",179,,,,FALSE,FALSE,16,0,"nationalloveyourpetday",,,,,"http://pbs.twimg.com/media/D1BnEXUWwAABNua.jpg","https://t.co/JdYEMBPxN9","https://twitter.com/kdzwierzynski/status/1103495241317957632/photo/1","photo","http://pbs.twimg.com/media/D1BnEXUWwAABNua.jpg","https://t.co/JdYEMBPxN9","https://twitter.com/kdzwierzynski/status/1103495241317957632/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kdzwierzynski/status/1103495241317957632","katie dzwierzynski","chicago","yes to sports, sunsets, dessert, dogs, books, puns & hallmark movies. no to veggies & cold. news editor/@gabattack writer/tweeter
@medillschool/@uofsc/ΦΜ alumna","https://t.co/kXxVmDexTP",FALSE,3553,2732,124,301949,126252,2010-02-12 05:46:45,FALSE,"https://t.co/kXxVmDexTP","http://hallsnarkchannel.com","en","https://pbs.twimg.com/profile_banners/113554769/1409455705","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1026535435277938688/O85widy3_normal.jpg",,
"x113554769","x1103495139131977728",2019-03-07 03:18:37,"kdzwierzynski","#nationalloveyourpetday was a few weeks ago when i had the flu, but we celebrate it every day here (and we’re celebrating three months of bentley coming to his forever home, too!)… https://t.co/J7YSy8c7c9","Instagram",204,,,,FALSE,FALSE,2,0,"nationalloveyourpetday",,"instagram.com/p/BusRWl1F9D9/…","https://t.co/J7YSy8c7c9","https://www.instagram.com/p/BusRWl1F9D9/?utm_source=ig_twitter_share&igshid=1dv0eqa4o4vzs",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/kdzwierzynski/status/1103495139131977728","katie dzwierzynski","chicago","yes to sports, sunsets, dessert, dogs, books, puns & hallmark movies. no to veggies & cold. news editor/@gabattack writer/tweeter
@medillschool/@uofsc/ΦΜ alumna","https://t.co/kXxVmDexTP",FALSE,3553,2732,124,301949,126252,2010-02-12 05:46:45,FALSE,"https://t.co/kXxVmDexTP","http://hallsnarkchannel.com","en","https://pbs.twimg.com/profile_banners/113554769/1409455705","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1026535435277938688/O85widy3_normal.jpg",,
