"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng"
"x336370231","x1101249391036387329",2019-02-28 22:34:49,"sydneycorbin","I used to NEVER get sick until I started going to IU. If this case of strep throat doesn’t kill me, IU surely will in the next year and a half.","Twitter for iPhone",143,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/1010ecfa7d3a40f8.json","Indiana","Indiana, USA","admin","United States","US","NA NA","NA NA","-88.097892 -84.78458 -84.78458 -88.097892 37.771743 37.771743 41.761368 41.761368","https://twitter.com/sydneycorbin/status/1101249391036387329","syd","","probably so, but I doubt it",,FALSE,1126,387,1,6387,5771,2011-07-16 05:28:33,FALSE,,,"en","https://pbs.twimg.com/profile_banners/336370231/1530904562","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1076600328013996032/wlP8AUnR_normal.jpg",39.7665555,-86.441236
"x261811436","x1101244990464946177",2019-02-28 22:17:20,"maxoday","My sources are telling me @tyleroday has overcome strep throat and WILL be in Amherst for Blarney weekend.","Twitter for iPhone",106,,,,FALSE,FALSE,14,1,,,,,,,,,,,,,,"x29029802","tyleroday","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/0163dc79526989c6.json","Amherst","Amherst, MA","city","United States","US","NA NA","NA NA","-72.5377835 -72.457946 -72.457946 -72.5377835 42.329754 42.329754 42.401248 42.401248","https://twitter.com/maxoday/status/1101244990464946177","Max O'Day","UMass Amherst '20","UMass Amherst- Sports Journalism/Communication",,FALSE,936,658,3,27031,20295,2011-03-06 19:15:18,FALSE,,,"en","https://pbs.twimg.com/profile_banners/261811436/1522670921","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/978115825352740864/qqEafMDC_normal.jpg",42.365501,-72.49786475
"x1456024512","x1101238676925820928",2019-02-28 21:52:15,"CNanceAnnouncer","@SairaCSU @RepJasonCrow @RepJoeNeguse @RepDianaDeGette @RepPerlmutter @RepSchakowsky @RepLindaSanchez @RepBonnie @RepEspaillat @RepSylviaGarcia @Ilhan @IlhanMN @JasonCrowCO6 Have you not seen her posts that she’s trying to delete at a feverish pace?  Do some research, @IlhanMN is a terrorist","Twitter for iPhone",118,"x1101236666906292225","x29902601","SairaCSU",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x29902601 x1080191866509901826 x1078749802765139968 x28599820 x20552026 x85896319 x312134473 x2968451607 x817076257770835968 x1080587263132733442 x1082334352711790593 x783792992 x851477335052140544 x783792992","SairaCSU RepJasonCrow RepJoeNeguse RepDianaDeGette RepPerlmutter RepSchakowsky RepLindaSanchez RepBonnie RepEspaillat RepSylviaGarcia Ilhan IlhanMN JasonCrowCO6 IlhanMN","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/e21c8e4914eef2b3.json","Colorado","Colorado, USA","admin","United States","US","NA NA","NA NA","-109.060257 -102.041524 -102.041524 -109.060257 36.992427 36.992427 41.003445 41.003445","https://twitter.com/CNanceAnnouncer/status/1101238676925820928","Carl Nance","Colorado, USA","Professional Rodeo & Special Event Announcer","https://t.co/QORMsI2QT0",FALSE,482,753,5,2331,9461,2013-05-25 05:09:44,FALSE,"https://t.co/QORMsI2QT0","http://www.facebook.com/carl.nance","en","https://pbs.twimg.com/profile_banners/1456024512/1453141239","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/706918663434055680/0L1NJt68_normal.jpg",38.997936,-105.5508905
"x301112178","x1101236757411102720",2019-02-28 21:44:37,"acravefordave","son I missed my presentation this morning so I went to the wellness center to get a doctors note. tell me why they made me take a flu test, strep throat test, and get the flu vaccination lmaooo I was in there, dumb tight for like an hour.

I got the doctors note tho so lit","Twitter for iPhone",273,,,,FALSE,FALSE,12,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/5a700e3c73cbf9b9.json","Wayne","Wayne, NJ","city","United States","US","NA NA","NA NA","-74.289406 -74.195413 -74.195413 -74.289406 40.88257 40.88257 41.014136 41.014136","https://twitter.com/acravefordave/status/1101236757411102720","D.","想像","neck roll wit da attitude, yuh.","https://t.co/EcdFAyHDxq",FALSE,2015,1298,6,77879,27553,2011-05-18 22:15:29,FALSE,"https://t.co/EcdFAyHDxq","http://cashapp.me/dav1cito","en","https://pbs.twimg.com/profile_banners/301112178/1550043802","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1095589043235106816/-gv0c7Sr_normal.jpg",40.948353,-74.2424095
"x2557628900","x1101207831481589760",2019-02-28 19:49:41,"Pixi3__Juic3","I finally caught the flu the rest of my house has had AND i started my period today so am i allowed to fucking off myself yet","Twitter for iPhone",125,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json","San Antonio","San Antonio, TX","city","United States","US","NA NA","NA NA","-98.778559 -98.302744 -98.302744 -98.778559 29.141956 29.141956 29.693046 29.693046","https://twitter.com/Pixi3__Juic3/status/1101207831481589760","🌙🦇Weed Witch 🍃🔮","she/they ","Black Magic Woman 🕸🦇🌙🔮 Chic&Tsundere//I feel like an Oscar winner baby// Chris 🖤🌷",,FALSE,412,397,10,31303,14437,2014-06-09 22:13:43,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2557628900/1544221574","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1094861461502025728/U9GUBTgw_normal.jpg",29.417501,-98.5406515
"x27385594","x1101182226572685314",2019-02-28 18:07:56,"White_Mocha_","Who do you know gets told they have strep throat and immediately goes and gets crispy hot wings to eat 😩","Twitter for iPhone",104,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/19e2bff2e89dc38e.json","Murfreesboro","Murfreesboro, TN","city","United States","US","NA NA","NA NA","-86.505805 -86.313415 -86.313415 -86.505805 35.751433 35.751433 35.943407 35.943407","https://twitter.com/White_Mocha_/status/1101182226572685314","$torm","Murfreesboro/Nashville, TN","I'm too gifted to be ordinary","https://t.co/cGGm7KyGGL",FALSE,395,607,10,56071,1111,2009-03-29 05:17:43,FALSE,"https://t.co/cGGm7KyGGL","http://pretticoasteyez.tumblr.com/","en","https://pbs.twimg.com/profile_banners/27385594/1354376316","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/853961642157199360/wE51Qm0b_normal.jpg",35.84742,-86.40961
"x2204158658","x1101171002216718338",2019-02-28 17:23:20,"patonhanna27","It’s time to play “Does my Throat Hurt Because of Dry Air or Strep Throat??”","Twitter for iPhone",76,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/fc7c2e706034396b.json","Normal","Normal, IL","city","United States","US","NA NA","NA NA","-89.061798 -88.921261 -88.921261 -89.061798 40.4878376 40.4878376 40.561712 40.561712","https://twitter.com/patonhanna27/status/1101171002216718338","hdp 🍍","USA","hi I like sciency stuff // Illinois State ‘22 // ΑΔΠ",,FALSE,412,390,2,6038,11879,2013-11-20 03:00:31,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2204158658/1549345055","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1097642661245272064/IMnEUcRg_normal.jpg",40.5247748,-88.9915295
"x130645107","x1101130430525390848",2019-02-28 14:42:07,"TweetsbySimone","@DrJeanSorohan @TarynDeVere Yes. This too. And also victim blaming happens outside the gender paradigm. It is a phenomenon not just around gender based violence. This will seem like a facile example in the context of this conversation but next time you tell someone you’ve caught a cold notice how ...","Twitter for iPhone",273,"x1100891983449653252","x3120616602","DrJeanSorohan",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x3120616602 x756922710500999170","DrJeanSorohan TarynDeVere","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","Manhattan","Manhattan, NY","city","United States","US","NA NA","NA NA","-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483","https://twitter.com/TweetsbySimone/status/1101130430525390848","Simone","Dublin City, Ireland","HumanRightsLawyer ✊🏽 Activist #TED2018Speaker MegaphoneFeminist 📣 #Stand4Truth | ParalysisCureHunter @MPollockTrust @ReeveFoundation","https://t.co/qbkJeh9bTF",FALSE,3249,2523,45,19371,5722,2010-04-07 22:28:02,FALSE,"https://t.co/qbkJeh9bTF","http://simonegeorge.com","en","https://pbs.twimg.com/profile_banners/130645107/1536332273","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1054078810247909376/uDn0MaEl_normal.jpg",40.780709,-73.9685415
"x2340185782","x1101100182383484930",2019-02-28 12:41:55,"TerrElReyLeon","I caught the flu but I still have this job interview 😩","Twitter for iPhone",54,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/946ccd22e1c9cda1.json","Pittsburgh","Pittsburgh, PA","city","United States","US","NA NA","NA NA","-80.095586 -79.8657933 -79.8657933 -80.095586 40.3615796 40.3615796 40.501198 40.501198","https://twitter.com/TerrElReyLeon/status/1101100182383484930","DearBrothaNumpsay","Pittsburgh, PA","God's Son - advocate,funny guy, blogger, Teacher, rap fan, author, existentialist! are you not entertained?","https://t.co/RHw2oPw0gs",FALSE,981,2178,13,41726,10458,2014-02-12 22:53:26,FALSE,"https://t.co/RHw2oPw0gs","https://1cat81.wordpress.com","en","https://pbs.twimg.com/profile_banners/2340185782/1549122722","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1097926090625114113/FKo6AMv4_normal.jpg",40.4313888,-79.98068965
"x149737332","x1101091298130448384",2019-02-28 12:06:37,"GenieSlays","No streams for a couple days. Been up puking almost every hour since last night so, safe to say I think I caught the flu. :(","Twitter for Android",124,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/0525ca0f47bca741.json","Norfolk County","Norfolk County, Ontario","city","Canada","CA","NA NA","NA NA","-80.766742 -79.940855 -79.940855 -80.766742 42.291504 42.291504 43.032122 43.032122","https://twitter.com/GenieSlays/status/1101091298130448384","Genie","Toronto, Ontario","• Streamer • Professional Makeup Artist • @BeautyVerseTV Contact me: https://t.co/EcapbPlQ5t","https://t.co/fz2VLqfLSx",FALSE,4683,2098,26,9069,11434,2010-05-30 02:58:01,FALSE,"https://t.co/fz2VLqfLSx","http://twitch.tv/GenieSlays","en","https://pbs.twimg.com/profile_banners/149737332/1503095264","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1078132179840978945/bMdWIr-G_normal.jpg",42.661813,-80.3537985
