"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng"
"x2587996416","x1102070985254162432",2019-03-03 04:59:33,"davidlara_45","Woodley must have a fever or somethin i swear 😂","Twitter for iPhone",47,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/b980515f617707a9.json","Wichita Falls","Wichita Falls, TX","city","United States","US","NA NA","NA NA","-98.6144114 -98.425702 -98.425702 -98.6144114 33.835461 33.835461 34.017379 34.017379","https://twitter.com/davidlara_45/status/1102070985254162432","david","United States","USAF",,FALSE,676,441,1,8972,4881,2014-06-25 18:42:56,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2587996416/1549183591","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1064211028785819650/Kn8wNgU6_normal.jpg",33.92642,-98.5200567
"x1000879003404775424","x1102069506501984256",2019-03-03 04:53:40,"BatmegsReturns","I really do have a fever, that's why I think I'm funny. All a hallucination.","Twitter for Android",76,"x1102069504908111874","x1000879003404775424","BatmegsReturns",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BatmegsReturns/status/1102069506501984256","SpongeMeg SquareBibbs","Pennsylvania, USA","Yes, I'm an adult. No, I'm not sure.",,FALSE,26,364,0,3239,5526,2018-05-27 23:18:44,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1000879003404775424/1547082282","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098709511504834562/RDCa5pwf_normal.jpg",,
"x23560625","x1102068078060306434",2019-03-03 04:47:59,"unjustvivthings","Reached peak millennial spraying my face with rose water bc I have a fever","Twitter for iPhone",74,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/unjustvivthings/status/1102068078060306434","just viv","Los Angeles","just out here trying my best","https://t.co/JpUkjibTrf",FALSE,335,301,6,10088,8411,2009-03-10 05:24:51,FALSE,"https://t.co/JpUkjibTrf","http://Instagram.com/justvivthings","en","https://pbs.twimg.com/profile_banners/23560625/1461116670","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1025296063962308609/GA4ymufd_normal.jpg",,
"x747500580","x1102066604060364801",2019-03-03 04:42:08,"MorganGozzo","I definitely have a fever and I know this because for a split second I found myself attracted to Kevin Jonas","Twitter for iPhone",108,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MorganGozzo/status/1102066604060364801","Morgan Gozzo","Virginia, USA","you’re gold, baby. solid gold. • Virginia Tech • she/her",,FALSE,885,723,5,18187,24474,2012-08-09 16:22:14,FALSE,,,"en","https://pbs.twimg.com/profile_banners/747500580/1551052312","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1025196770777866240/mhXW91Vs_normal.jpg",,
"x20272521","x1102065948410941440",2019-03-03 04:39:32,"J_Dot_J","@yooty Probably. His entire class has had it. He’s not throwing up but has a fever and just wiped out. Didn’t get out of bed today.","Twitter for iPhone",124,"x1102065789375414273","x21542512","yooty",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x21542512","yooty","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/J_Dot_J/status/1102065948410941440","OG J.J.","Texas, USA","Described as ""the mind of a leader, the heart of a champion, and the mouth of a sailor,"" by a nationally-recognized trial lawyer. #InHouseTwitter",,FALSE,5042,400,73,1115,130571,2009-02-06 21:11:52,FALSE,,,"en","https://pbs.twimg.com/profile_banners/20272521/1516025558","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1083176112090501120/9o3n9IpC_normal.jpg",,
"x726489448662228993","x1102063586178789376",2019-03-03 04:30:08,"SeatsCheap","@AOC The voters of Texas chose Cruz over Beto O’Rourke.  I really don’t understand how you make that choice...especially if you have children. The planet has a fever and the GOP lies while counting their fossil fuel money. #GreenNewDeal","Twitter for iPad",231,"x1101982168853762049","x138203134","AOC",FALSE,FALSE,2,0,"GreenNewDeal",,,,,,,,,,,,,"x138203134","AOC","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SeatsCheap/status/1102063586178789376","Cheap Seats View","Sacramento, CA","Progressive, retired business manager, historian",,FALSE,151,96,2,9616,59371,2016-04-30 19:12:36,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/848311008242262016/IVT38HZB_normal.jpg",,
"x571000162","x1102063448505139200",2019-03-03 04:29:36,"peytonsmommie1","@Tessfelice0211 Who has a fever??? And why don’t I know about this already???","Twitter for iPhone",61,"x1102045188782993408","x115239426","Tessfelice0211",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x115239426","Tessfelice0211","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/peytonsmommie1/status/1102063448505139200","Lesley Henderson","Georgia","I am @smokintiger Princess and mom to a beautiful son and three 4-legged kids. Loves me some LSU Tigers!!",,FALSE,1007,1075,14,3632,882,2012-05-04 17:15:33,FALSE,,,"en","https://pbs.twimg.com/profile_banners/571000162/1358455623","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/705815934771052545/Fszusay7_normal.jpg",,
"x140979549","x1102063348873609216",2019-03-03 04:29:12,"jshepp121","Update: I have the flu, bladder infection, and a kidney stone. I have fever and have thrown up 4 times this weekend 🙃","Twitter for iPhone",117,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jshepp121/status/1102063348873609216","Jessica","Knoxville, TN","",,FALSE,83,280,1,651,2150,2010-05-06 21:43:29,FALSE,,,"en","https://pbs.twimg.com/profile_banners/140979549/1450214225","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/983389336577171456/vpn3a0z3_normal.jpg",,
"x48385227","x1102062829790588928",2019-03-03 04:27:08,"dropem525","Have a fever 🤒 so I’m gonna OD on this medicine. (Then I see its non drowsy formula 😔) I’m gonna just numb the aches and pains and eat chocolate.… https://t.co/4pWjKodsai","Instagram",170,,,,FALSE,FALSE,0,0,,,"instagram.com/dropem525/p/Bu…","https://t.co/4pWjKodsai","https://www.instagram.com/dropem525/p/BuiGAzFlkhQSgRcJQ_za3LyKQ8whv1xvoCjWJY0/?utm_source=ig_twitter_share&igshid=ivxma311asnd",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/a3d770a00f15bcb1.json","Corpus Christi","Corpus Christi, TX","city","United States","US","27.7964 -97.3976","-97.3976 27.7964","-97.662618 -97.202232 -97.202232 -97.662618 27.578509 27.578509 27.895793 27.895793","https://twitter.com/dropem525/status/1102062829790588928","Ray Ortiz Sr."," Calallen Corpus Christi, TX","",,FALSE,158,399,0,2916,262,2009-06-18 15:34:27,FALSE,,,"en","https://pbs.twimg.com/profile_banners/48385227/1519265738","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/966496663979397121/ctffyCGI_normal.jpg",27.7964,-97.3976
"x1017974353","x1102061841948258304",2019-03-03 04:23:13,"barefootbxo","I thought Tylenol when you had a fever could cause seizures? I don’t use it so I’m genuinely curious. https://t.co/VCUgVltk9q","Twitter for iPhone",101,,,,TRUE,FALSE,0,0,,,"twitter.com/momof2dinosaur…","https://t.co/VCUgVltk9q","https://twitter.com/momof2dinosaurs/status/1101904346734829568",,,,,,,,,,,"en","x1101904346734829568","Tylenol can reduce fever and pain temporarily but it can also cause inflammation in the brain if crossed through the blood brain barrier. A bath,a cold rag and a little water to stay hydrated will get rid of a fever. If the fever persists: consult your doctor.",2019-03-02 17:57:23,"Twitter for Android",26,7,"x896529526498394112","momof2dinosaurs","k.🌧",984,929,377,"Texas, USA","⚡Just trying to do better than my parents did|Read the inserts|Stop vaccinating|Cloth diapers are fun|Don't be an asshole|🍃",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/barefootbxo/status/1102061841948258304","mamasté","Virginia Beach, VA","Im not Mexican, Polynesian, honey roasted bbq or any of the other chick fil a sauces•Vegan but not a dick about it•Native•naturopath•Health Coach","https://t.co/EIfw71fE0C",FALSE,2056,638,12,63906,8355,2012-12-17 17:48:07,FALSE,"https://t.co/EIfw71fE0C","https://linktr.ee/barefootbrunettexx","en","https://pbs.twimg.com/profile_banners/1017974353/1539044053","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1061784391658151937/POTZhsr8_normal.jpg",,
