"","X.1","X","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng","stateCode","state.name.x","state.name.y"
"1",1,8,"x2715551076","x1103507049965670400","2019-03-07 04:05:57","vivalahvte","I got the flu shot to make sure I don’t get sick! &amp; I’ve been sick way more times than I’ve ever been sick! WHAT THE HECK","Twitter for iPhone",125,"","","",FALSE,FALSE,1,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json","Chicago","Chicago, IL","city","United States","US","NA NA","NA NA","-87.940033 -87.523993 -87.523993 -87.940033 41.644102 41.644102 42.0230669 42.0230669","https://twitter.com/vivalahvte/status/1103507049965670400","Leez 🦋","Chicago, IL","llorona pero chingona |🏋🏻‍♀️🍑🥊","https://t.co/JwFKN2y8Zm",FALSE,493,586,15,14900,18820,"2014-08-07 23:23:06",FALSE,"https://t.co/JwFKN2y8Zm","http://Instagram.com/littleblackbirdd","en","https://pbs.twimg.com/profile_banners/2715551076/1497111633","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1091173875453440000/4uBOl9RI_normal.jpg",41.83358445,-87.732013,"IL","Illinois","Illinois"
"2",2,10,"x265849206","x1103506773766520833","2019-03-07 04:04:51","moereese123","@jordonkry36 @chicagobulls Im assuming he got hit with the flu like full fledged now lol","Twitter for Android",61,"x1103506513199595525","x1864589881","jordonkry36",FALSE,FALSE,1,0,"",NA,"","","","","","","","","","",NA,"x1864589881 x16212685","jordonkry36 chicagobulls","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/edbc1ac7f306fad2.json","Shively","Shively, KY","city","United States","US","NA NA","NA NA","-85.8516052 -85.78059 -85.78059 -85.8516052 38.170899 38.170899 38.2207779 38.2207779","https://twitter.com/moereese123/status/1103506773766520833","Maurice","Louisville, Kentucky","","",FALSE,309,442,4,21105,36191,"2011-03-14 07:11:18",FALSE,"","","en","https://pbs.twimg.com/profile_banners/265849206/1464047265","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1034582305506054146/dgz1Njjt_normal.jpg",38.19583845,-85.8160976,"KY","Kentucky","Kentucky"
"3",3,26,"x2431527388","x1103496378410586114","2019-03-07 03:23:33","kriola_fofa617","@StoopidWild88 😂😂 I had the flu hacking up a lung and my daughter yelled a little quieter please. Kids ain't shit","Twitter for Android",98,"x1103476614522900480","x99159042","StoopidWild88",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"x99159042","StoopidWild88","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json","Boston","Boston, MA","city","United States","US","NA NA","NA NA","-71.191421 -70.986004 -70.986004 -71.191421 42.227797 42.227797 42.399542 42.399542","https://twitter.com/kriola_fofa617/status/1103496378410586114","Natalie Teixeira","","Proud Mommy Great Woman Cape Verdean need I say more ...  #bostonstrong snapchat: @kriola_fofa6617 IG: Kriola_fofa","https://t.co/wB72xhCHHY",FALSE,2509,2674,34,46894,28668,"2014-03-23 18:00:59",FALSE,"https://t.co/wB72xhCHHY","https://secure.acsevents.org/site/SPageServer?pagename=MSABC_CY14_participant_center&pc2_page=center","en","https://pbs.twimg.com/profile_banners/2431527388/1401463749","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1078828611321380864/FxYxvqDs_normal.jpg",42.3136695,-71.0887125,"MA","Massachusetts","Massachusetts"
"4",4,46,"x220895211","x1103486423418789890","2019-03-07 02:43:59","SaintsPoetic","Ah I mean shit!!! Michael Jordan played with the flu baby. Do your thing!!! https://t.co/OBDUhaSfQo","Twitter for iPhone",75,"","","",TRUE,FALSE,5,0,"",NA,"twitter.com/sydneyleroux/s…","https://t.co/OBDUhaSfQo","https://twitter.com/sydneyleroux/status/1102638310181212162","","","","","","","",NA,"","","en","x1102638310181212162","I didn’t think I’d be starting off preseason 5.5 months pregnant but here we are. 😂 https://t.co/smuA4nFx9n","2019-03-04 18:33:53","Twitter for iPhone",93935,14633,"x147869906","sydneyleroux","Sydney Leroux Dwyer",2200415,564,3967,"","I kick balls. Mom to Cassius.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1c73ebb264e145ee.json","Louisiana","Louisiana, USA","admin","United States","US","NA NA","NA NA","-94.043628 -88.758389 -88.758389 -94.043628 28.855128 28.855128 33.019544 33.019544","https://twitter.com/SaintsPoetic/status/1103486423418789890","⚜️🏈COACHMAC⚜️🏈","New Orleans, Baton Rouge","Husband, Father, Boxer, Well Educated, Saints, Jaguars, Pelicans, Hurricanes.","",FALSE,3802,4987,48,160610,58740,"2010-11-29 04:18:29",FALSE,"","","en","https://pbs.twimg.com/profile_banners/220895211/1551465353","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1102958745775161344/-wT87R9c_normal.jpg",30.937336,-91.4010085,"LA","Louisiana","Louisiana"
"5",5,62,"x1022711996","x1103482095870140416","2019-03-07 02:26:48","happynnappy13","I'm not  one for pills.. AT ALL.. but I'm also not playing with the flu. I'll be glad when these pills run out.","Twitter for Android",111,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json","Chicago","Chicago, IL","city","United States","US","NA NA","NA NA","-87.940033 -87.523993 -87.523993 -87.940033 41.644102 41.644102 42.0230669 42.0230669","https://twitter.com/happynnappy13/status/1103482095870140416","Crystal Gail","","","https://t.co/r5lzkrxt90",FALSE,218,424,0,10668,1377,"2012-12-19 19:20:58",FALSE,"https://t.co/r5lzkrxt90","https://youtu.be/UNLZHZqmzvQ","en","https://pbs.twimg.com/profile_banners/1022711996/1417718341","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1024425161284628481/BXorGAJ8_normal.jpg",41.83358445,-87.732013,"IL","Illinois","Illinois"
"6",6,63,"x1022711996","x1102707103628697601","2019-03-04 23:07:15","happynnappy13","I got the flu. 😷","Twitter for Android",16,"x1102704607590039553","x1022711996","happynnappy13",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json","Chicago","Chicago, IL","city","United States","US","NA NA","NA NA","-87.940033 -87.523993 -87.523993 -87.940033 41.644102 41.644102 42.0230669 42.0230669","https://twitter.com/happynnappy13/status/1102707103628697601","Crystal Gail","","","https://t.co/r5lzkrxt90",FALSE,218,424,0,10668,1377,"2012-12-19 19:20:58",FALSE,"https://t.co/r5lzkrxt90","https://youtu.be/UNLZHZqmzvQ","en","https://pbs.twimg.com/profile_banners/1022711996/1417718341","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1024425161284628481/BXorGAJ8_normal.jpg",41.83358445,-87.732013,"IL","Illinois","Illinois"
"7",7,78,"x1242507594","x1103471720898281472","2019-03-07 01:45:34","BrennLawrence","I’m literally dying. I haven’t had the flu like this in years and I’m just wondering what I did to deserve this😅","Twitter for iPhone",112,"","","",FALSE,FALSE,1,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/737fcb9daae404ac.json","Boise","Boise, ID","city","United States","US","NA NA","NA NA","-116.374494 -116.101508 -116.101508 -116.374494 43.510172 43.510172 43.685894 43.685894","https://twitter.com/BrennLawrence/status/1103471720898281472","brenn","","thanks but I’m gay with daddy🤑🏳️‍🌈","",FALSE,566,744,1,31156,22185,"2013-03-05 00:36:12",FALSE,"","","en","https://pbs.twimg.com/profile_banners/1242507594/1538110039","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1095940780781330433/Nlg5QkeX_normal.jpg",43.598033,-116.238001,"ID","Idaho","Idaho"
"8",8,92,"x372808629","x1103464733846503429","2019-03-07 01:17:48","kate_kansascity","@samuraihawk I went to the last SKC playoff game of the season last year totally sober having just recovered from the stomach flu. Sober, weak/exhausted and that loss made for a hell of an evening. 🙄","Twitter for iPhone",186,"x1103444340368642048","x18802723","samuraihawk",FALSE,FALSE,1,0,"",NA,"","","","","","","","","","",NA,"x18802723","samuraihawk","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/9a974dfc8efb32a0.json","Kansas City","Kansas City, MO","city","United States","US","NA NA","NA NA","-94.733122 -94.3854414 -94.3854414 -94.733122 38.868002 38.868002 39.332095 39.332095","https://twitter.com/kate_kansascity/status/1103464733846503429","Kate Sweeten","Kansas City","Lover of photography, drawing food puns, all things Kansas City, my dumb animals, craft beer, travel + dinosaurs (all opinions/tweets expressed are my own).","https://t.co/2Aw6UldIS3",FALSE,744,1456,45,5719,13681,"2011-09-13 13:18:02",FALSE,"https://t.co/2Aw6UldIS3","https://www.facebook.com/KateSweetenPhotography","en","https://pbs.twimg.com/profile_banners/372808629/1485041671","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1048730451781799936/TPYH7ke7_normal.jpg",39.1000485,-94.5592817,"MO","Missouri","Missouri"
"9",9,130,"x14738774","x1102529068602454016","2019-03-04 11:19:48","lagiabella","Stomach flu or food poisoning? I don’t know, but please kill me all the same! 😬","Twitter for iPhone",79,"","","",FALSE,FALSE,1,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json","Chicago","Chicago, IL","city","United States","US","NA NA","NA NA","-87.940033 -87.523993 -87.523993 -87.940033 41.644102 41.644102 42.0230669 42.0230669","https://twitter.com/lagiabella/status/1102529068602454016","Gia Scalise","Chicago, IL","I like tea. I write. I play video games. I have a lot of animals and tattoos. Sometimes I spend all day watching BBC period dramas. She/her.","",FALSE,281,117,18,16788,3452,"2008-05-12 01:06:48",FALSE,"","","en","https://pbs.twimg.com/profile_banners/14738774/1515175470","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1067601369362780160/8tL4WAaa_normal.jpg",41.83358445,-87.732013,"IL","Illinois","Illinois"
"10",10,137,"x344763692","x1103439217676435457","2019-03-06 23:36:25","MadRox13_","I’ve been so sick with the flu the past week so I have not been to the gym at all😩  
i’ve been dying stuck at home so hopefully getting a workout in on Friday after… https://t.co/LKG2sZ2EML","Instagram",189,"","","",FALSE,FALSE,0,0,"",NA,"instagram.com/p/Bur3634nsM8/…","https://t.co/LKG2sZ2EML","https://www.instagram.com/p/Bur3634nsM8/?utm_source=ig_twitter_share&igshid=9j0ro3os0lcy","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/9b59ef9d7ba9ded7.json","West Goshen","West Goshen, PA","city","United States","US","39.97129646 -75.58615876","-75.58615876 39.97129646","-75.600085 -75.547641 -75.547641 -75.600085 39.951961 39.951961 39.9826866 39.9826866","https://twitter.com/MadRox13_/status/1103439217676435457","Mad🌻","YNK","when you can't find the sunshine, be the sunshine☀️","https://t.co/2fl5blF6gb",FALSE,822,881,7,11562,15605,"2011-07-29 15:09:03",FALSE,"https://t.co/2fl5blF6gb","http://madisonkraichely.vsco.co","en","https://pbs.twimg.com/profile_banners/344763692/1532977187","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1061860680175902720/u-uE8M0z_normal.jpg",39.97129646,-75.58615876,"PA","Pennsylvania","Pennsylvania"
