cds	CDC
twt	Twitter: All Keywords
got a fever	Twitter Keyword: got a fever
have a fever	Twitter Keyword: have a fever
had a fever	Twitter Keyword: had a fever
has a fever	Twitter Keyword: has a fever
down with a fever	Twitter Keyword: down with a fever
got cold	Twitter Keyword: got cold
got a cold	Twitter Keyword: got a cold
have cold	Twitter Keyword: have cold
have a cold	Twitter Keyword: have a cold
caught a cold	Twitter Keyword: caught a cold
had a cold	Twitter Keyword: had a cold
got flu	Twitter Keyword: got flu
got the flu	Twitter Keyword: got the flu
have flu	Twitter Keyword: have flu
caught the flu	Twitter Keyword: caught the flu
having the flu	Twitter Keyword: having the flu
have the flu	Twitter Keyword: have the flu
had the flu	Twitter Keyword: had the flu
battling the flu	Twitter Keyword: battling the flu
hate the flu	Twitter Keyword: hate the flu
stomach flu	Twitter Keyword: stomach flu
with flu	Twitter Keyword: with flu
with the flu	Twitter Keyword: with the flu
feverish	Twitter Keyword: feverish
running a fever	Twitter Keyword: running a fever
running a high fever	Twitter Keyword: running a high fever
have a temperature	Twitter Keyword: have a temperature
fever broke	Twitter Keyword: fever broke
